(2.32609e-005,0.000187331)
(0.00020567,2.30934e-005)
(-1.93982e-005,6.75697e-006)
(1.25169e-005,3.86781e-005)
(-4.75156e-005,1.65511e-005)
(3.06601e-005,9.47415e-005)
(3.6892e-005,0.000214523)
(0.000220995,2.67716e-005)
(-2.45969e-005,1.02839e-005)
(1.57103e-005,4.15483e-005)
(-6.02498e-005,2.51902e-005)
(3.84822e-005,0.000101772)
(5.31235e-005,0.000237688)
(0.000235321,2.88678e-005)
(-2.98268e-005,1.43562e-005)
(1.87877e-005,4.45195e-005)
(-7.30605e-005,3.51652e-005)
(4.60202e-005,0.00010905)
(7.16262e-005,0.000257305)
(0.000248991,2.93971e-005)
(-3.50386e-005,1.89299e-005)
(2.17895e-005,4.76236e-005)
(-8.58268e-005,4.63687e-005)
(5.33732e-005,0.000116654)
(9.19583e-005,0.000273601)
(0.000262137,2.84166e-005)
(-4.01546e-005,2.39342e-005)
(2.47202e-005,5.08561e-005)
(-9.83583e-005,5.86265e-005)
(6.05519e-005,0.000124571)
(9.21698e-005,0.000273748)
(0.000262267,2.83994e-005)
(-4.02051e-005,2.39862e-005)
(2.47492e-005,5.0889e-005)
(-9.84821e-005,5.8754e-005)
(6.06229e-005,0.000124652)
(0.000113941,0.00028692)
(0.000274966,2.59883e-005)
(-4.51628e-005,2.93596e-005)
(2.7611e-005,5.42409e-005)
(-0.000110626,7.19162e-005)
(6.76328e-005,0.000132863)
(0.000148504,0.00030135)
(0.000293281,1.99416e-005)
(-5.22045e-005,3.79806e-005)
(3.17824e-005,5.94598e-005)
(-0.000127874,9.30331e-005)
(7.78506e-005,0.000145646)
(0.000160384,0.000304838)
(0.000299199,1.73286e-005)
(-5.44285e-005,4.09786e-005)
(3.31423e-005,6.12425e-005)
(-0.000133322,0.000100377)
(8.11817e-005,0.000150013)
(0.000184733,0.000310009)
(0.000310871,1.12099e-005)
(-5.87124e-005,4.71913e-005)
(3.58468e-005,6.48965e-005)
(-0.000143815,0.000115595)
(8.78064e-005,0.000158963)
(0.000209121,0.000312798)
(0.00032205,4.11622e-006)
(-6.26611e-005,5.35164e-005)
(3.84733e-005,6.857e-005)
(-0.000153488,0.000131088)
(9.42398e-005,0.000167962)
(0.000233602,0.000313427)
(0.000332841,-3.9297e-006)
(-6.63022e-005,5.99805e-005)
(4.10556e-005,7.22827e-005)
(-0.000162406,0.000146921)
(0.000100565,0.000177056)
(0.000258014,0.000312041)
(0.00034323,-1.28575e-005)
(-6.96238e-005,6.65538e-005)
(4.36014e-005,7.6019e-005)
(-0.000170543,0.000163023)
(0.000106801,0.000186208)
(0.000282225,0.000308775)
(0.000353199,-2.26039e-005)
(-7.26182e-005,7.32107e-005)
(4.6119e-005,7.97647e-005)
(-0.000177877,0.000179329)
(0.000112968,0.000195383)
(0.000294455,0.000306426)
(0.000358115,-2.78703e-005)
(-7.40173e-005,7.66302e-005)
(4.73948e-005,8.16741e-005)
(-0.000181305,0.000187705)
(0.000116093,0.00020006)
(0.000306352,0.000303695)
(0.000362822,-3.32181e-005)
(-7.53046e-005,7.9995e-005)
(4.86416e-005,8.35433e-005)
(-0.000184458,0.000195947)
(0.000119147,0.000204639)
(0.000318146,0.000300555)
(0.000367416,-3.87428e-005)
(-7.65082e-005,8.33702e-005)
(4.98859e-005,8.54086e-005)
(-0.000187406,0.000204214)
(0.000122195,0.000209208)
(0.000329823,0.000297021)
(0.000371893,-4.44373e-005)
(-7.76278e-005,8.67527e-005)
(5.11283e-005,8.72683e-005)
(-0.000190148,0.0002125)
(0.000125238,0.000213763)
(0.000341606,0.000293022)
(0.000376339,-5.04153e-005)
(-7.86834e-005,9.0209e-005)
(5.23952e-005,8.91584e-005)
(-0.000192734,0.000220966)
(0.000128342,0.000218392)
(0.000352794,0.000288819)
(0.000380492,-5.63132e-005)
(-7.96153e-005,9.35327e-005)
(5.36127e-005,9.09661e-005)
(-0.000195017,0.000229107)
(0.000131324,0.000222821)
(0.000375195,0.000279191)
(0.000388602,-6.88006e-005)
(-8.12686e-005,0.000100319)
(5.61033e-005,9.46273e-005)
(-0.000199067,0.000245731)
(0.000137425,0.000231789)
(0.000375416,0.000279088)
(0.000388681,-6.8928e-005)
(-8.12834e-005,0.000100387)
(5.61282e-005,9.46636e-005)
(-0.000199103,0.000245897)
(0.000137485,0.000231877)
(0.000397178,0.000268119)
(0.000396282,-8.19885e-005)
(-8.26016e-005,0.000107165)
(5.86331e-005,9.82786e-005)
(-0.000202332,0.0002625)
(0.000143621,0.000240732)
(0.000418466,0.000255784)
(0.000403435,-9.57149e-005)
(-8.36002e-005,0.000113991)
(6.11853e-005,0.000101876)
(-0.000204778,0.000279219)
(0.000149873,0.000249544)
(0.000468829,0.000219596)
(0.00041906,-0.000132506)
(-8.46684e-005,0.000131051)
(6.7776e-005,0.000110673)
(-0.000207394,0.000321008)
(0.000166017,0.000271091)
(0.000486273,0.000204459)
(0.000423964,-0.000146907)
(-8.45491e-005,0.00013732)
(7.03006e-005,0.000113832)
(-0.000207102,0.000336363)
(0.000172201,0.00027883)
(0.000495328,0.000195998)
(0.000426387,-0.000154777)
(-8.43725e-005,0.000140661)
(7.1674e-005,0.000115499)
(-0.00020667,0.000344548)
(0.000175565,0.000282915)
(0.00049882,0.000192619)
(0.000427296,-0.000157889)
(-8.42821e-005,0.000141967)
(7.22162e-005,0.000116148)
(-0.000206448,0.000347746)
(0.000176893,0.000284503)
(0.000502106,0.000189377)
(0.000428139,-0.000160858)
(-8.41852e-005,0.000143204)
(7.27334e-005,0.000116761)
(-0.000206211,0.000350777)
(0.00017816,0.000286004)
(0.000505702,0.00018576)
(0.000429047,-0.000164154)
(-8.40658e-005,0.000144569)
(7.33072e-005,0.000117435)
(-0.000205918,0.00035412)
(0.000179565,0.000287655)
(0.000508923,0.000182456)
(0.000429847,-0.000167148)
(-8.39466e-005,0.000145801)
(7.38284e-005,0.000118041)
(-0.000205626,0.000357138)
(0.000180842,0.000289141)
(0.000509092,0.000182281)
(0.000429888,-0.000167306)
(-8.394e-005,0.000145866)
(7.38559e-005,0.000118073)
(-0.00020561,0.000357297)
(0.000180909,0.000289219)
(0.000512447,0.000178771)
(0.000430706,-0.000170472)
(-8.38025e-005,0.000147159)
(7.44068e-005,0.000118708)
(-0.000205273,0.000360465)
(0.000182259,0.000290775)
(0.000515769,0.000175228)
(0.000431501,-0.000173651)
(-8.36534e-005,0.00014845)
(7.496e-005,0.000119341)
(-0.000204908,0.000363627)
(0.000183614,0.000292323)
(0.000519055,0.000171654)
(0.000432273,-0.000176842)
(-8.34928e-005,0.000149738)
(7.55154e-005,0.000119969)
(-0.000204515,0.000366781)
(0.000184974,0.000293863)
(0.000522307,0.00016805)
(0.000433022,-0.000180046)
(-8.33207e-005,0.000151022)
(7.60731e-005,0.000120594)
(-0.000204093,0.000369927)
(0.00018634,0.000295394)
(0.000525685,0.000164233)
(0.000433783,-0.000183423)
(-8.31277e-005,0.000152367)
(7.66613e-005,0.000121247)
(-0.00020362,0.000373222)
(0.000187781,0.000296994)
(0.000529024,0.000160384)
(0.000434519,-0.000186813)
(-8.29221e-005,0.000153709)
(7.7252e-005,0.000121896)
(-0.000203117,0.000376508)
(0.000189228,0.000298583)
(0.000532167,0.000156688)
(0.000435195,-0.000190054)
(-8.27147e-005,0.000154983)
(7.78171e-005,0.000122511)
(-0.000202609,0.000379628)
(0.000190612,0.000300089)
(-1.80279e-005,-0.000145187)
(-0.000138494,-2.04941e-005)
(-5.22692e-005,1.8207e-005)
(2.56294e-005,8.09714e-005)
(-2.86184e-005,-0.000166413)
(-0.000150381,-2.43882e-005)
(-6.60663e-005,2.76221e-005)
