0.55    147.5    295.729    42.8487
0.65    147.5    206.057    33.0174
0.75    147.5    216.383    33.4185
0.85    147.5    155.624    27.9662
0.95    147.5    120.656    24.1413
1.05    147.5    115.15    23.0399
1.15    147.5    49.4817    14.922
1.25    147.5    66.0883    17.068
1.35    147.5    43.211    13.6678
1.45    147.5    24.6741    10.074
1.55    147.5    20.0451    8.96556
1.65    147.5    108.264    20.4668
1.75    147.5    86.3303    18.0067
1.85    147.5    79.8103    17.0204
1.95    147.5    59.8462    14.5191
2.05    147.5    47.6973    12.7508
2.15    147.5    55.4736    13.4579
2.25    147.5    84.6324    16.2942
2.35    147.5    41.8627    11.1908
2.45    147.5    49.3615    11.9745
2.55    147.5    56.2396    12.5781
2.65    147.5    69.7756    13.6875
2.75    147.5    44.4511    10.7821
2.85    147.5    25.7406    8.14043
2.95    147.5    35.4241    9.46888
3.05    147.5    37.2194    9.61118
3.15    147.5    29.6524    8.56168
3.25    147.5    43.66    10.2942
3.35    147.5    14.6737    5.99143
3.45    147.5    17.2372    6.51656
3.55    147.5    19.9162    7.0442
3.65    147.5    12.63    5.65001
3.75    147.5    23.174    7.72869
3.85    147.5    23.5576    7.85668
3.95    147.5    18.7276    7.08157
4.05    147.5    8.19608    4.73285
