31 14805
31 17851
31 21845
32 4140
33 2495
33 5185
33 20722
33 32625
33 40256
34 1934
34 8474
34 11237
34 15137
34 25429
34 27193
34 30846
34 33090
36 4036
36 9426
36 12267
36 21867
36 21880
36 29152
36 35446
36 36625
36 40639
36 63364
36 69476
36 69519
37 2385
37 3468
37 6750
37 15376
37 21933
37 45330
38 6699
38 6846
38 8650
38 19020
38 22523
38 27192
38 39583
40 1600
40 12358
40 17824
47 40817
47 78292
47 105005
47 124176
47 144707
48 76819
48 81104
48 90083
50 45960
50 132979
52 11074
52 87105
52 173616
52 181519
56 83773
56 103449
56 125722
57 15327
57 88286
59 45533
59 71972
60 98826
63 80042
