(1.68857e-009,1.42509e-005)
(0.000216971,1.0365e-007)
(1.69493e-006,6.8718e-007)
(5.59275e-005,-0.000137943)
(3.63372e-009,1.83719e-005)
(0.000220548,1.713e-007)
(2.27945e-006,8.32621e-007)
(5.17037e-005,-0.000141544)
(7.63154e-009,2.34893e-005)
(0.000224562,2.78239e-007)
(3.04273e-006,9.89708e-007)
(4.7243e-005,-0.000145233)
(1.3983e-008,2.86996e-005)
(0.000228327,4.12852e-007)
(3.85753e-006,1.12524e-006)
(4.32964e-005,-0.000148412)
(2.45619e-008,3.4573e-005)
(0.000232304,5.95253e-007)
(4.81717e-006,1.25065e-006)
(3.93462e-005,-0.000151523)
(4.03249e-008,4.07215e-005)
(0.00023625,8.20424e-007)
(5.86467e-006,1.35264e-006)
(3.56216e-005,-0.000154399)
(6.42939e-008,4.74937e-005)
(0.000240408,1.10824e-006)
(7.06583e-006,1.43192e-006)
(3.18803e-005,-0.00015724)
(6.69427e-008,4.81298e-005)
(0.000240791,1.13739e-006)
(7.18111e-006,1.43764e-006)
(3.1545e-005,-0.000157492)
(8.25853e-008,5.15774e-005)
(0.000242842,1.30163e-006)
(7.81296e-006,1.46352e-006)
(2.97689e-005,-0.000158824)
(9.85486e-008,5.46676e-005)
(0.000244653,1.45775e-006)
(8.38933e-006,1.47949e-006)
(2.82319e-005,-0.000159969)
(1.02269e-007,5.53384e-005)
(0.000245043,1.49275e-006)
(8.51568e-006,1.48206e-006)
(2.79046e-005,-0.000160212)
(1.19698e-007,5.82793e-005)
(0.00024674,1.65079e-006)
(9.07476e-006,1.4896e-006)
(2.6494e-005,-0.000161256)
(1.24035e-007,5.89657e-005)
(0.000247134,1.68876e-006)
(9.20644e-006,1.49049e-006)
(2.61703e-005,-0.000161495)
(1.37798e-007,6.10419e-005)
(0.000248318,1.80606e-006)
(9.60744e-006,1.49117e-006)
(2.52032e-005,-0.000162207)
(1.47623e-007,6.24398e-005)
(0.000249111,1.88712e-006)
(9.87974e-006,1.48994e-006)
(2.45618e-005,-0.000162679)
(1.51018e-007,6.29082e-005)
(0.000249376,1.91465e-006)
(9.97138e-006,1.48923e-006)
(2.43486e-005,-0.000162835)
(1.65216e-007,6.47936e-005)
(0.000250437,2.02737e-006)
(1.03423e-005,1.48482e-006)
(2.34984e-005,-0.000163458)
(1.76536e-007,6.62198e-005)
(0.000251236,2.11464e-006)
(1.06251e-005,1.47986e-006)
(2.28638e-005,-0.000163922)
(1.80442e-007,6.66975e-005)
(0.000251503,2.14426e-006)
(1.07203e-005,1.47789e-006)
(2.26527e-005,-0.000164076)
(2.05318e-007,6.95873e-005)
(0.00025311,2.32748e-006)
(1.13003e-005,1.4626e-006)
(2.13924e-005,-0.000164994)
(2.52648e-007,7.44893e-005)
(0.000255808,2.65418e-006)
(1.23014e-005,1.42363e-006)
(1.93129e-005,-0.000166502)
(2.90527e-007,7.7981e-005)
(0.000257711,2.89894e-006)
(1.30277e-005,1.3859e-006)
(1.78724e-005,-0.000167543)
(3.02117e-007,7.89873e-005)
(0.000258257,2.97132e-006)
(1.3239e-005,1.37349e-006)
(1.7463e-005,-0.000167838)
(3.45517e-007,8.25387e-005)
(0.000260174,3.23328e-006)
(1.39919e-005,1.32421e-006)
(1.60378e-005,-0.000168863)
(3.52089e-007,8.30497e-005)
(0.000260448,3.2718e-006)
(1.41011e-005,1.31642e-006)
(1.58351e-005,-0.000169009)
(4.04492e-007,8.69094e-005)
(0.000262515,3.5695e-006)
(1.49336e-005,1.25184e-006)
(1.43224e-005,-0.000170093)
(4.11907e-007,8.74276e-005)
(0.000262791,3.61036e-006)
(1.50464e-005,1.2424e-006)
(1.41217e-005,-0.000170237)
(4.79209e-007,9.18649e-005)
(0.000265148,3.96887e-006)
(1.60214e-005,1.15414e-006)
(1.24244e-005,-0.00017145)
(5.49907e-007,9.60916e-005)
(0.000267378,4.32451e-006)
(1.69659e-005,1.05767e-006)
(1.08411e-005,-0.000172578)
(6.28242e-007,0.000100364)
(0.000269619,4.69781e-006)
(1.79361e-005,9.47845e-007)
(9.27102e-006,-0.000173695)
(7.204e-007,0.000104949)
(0.00027201,5.11366e-006)
(1.89947e-005,8.16144e-007)
(7.61671e-006,-0.000174869)
(8.2235e-007,0.000109577)
(0.000274411,5.54918e-006)
(2.00814e-005,6.68613e-007)
(5.9762e-006,-0.000176031)
(9.27796e-007,0.00011397)
(0.000276679,5.97685e-006)
(2.11296e-005,5.14984e-007)
(4.44431e-006,-0.000177115)
(1.04297e-006,0.000118395)
(0.000278954,6.42154e-006)
(2.22019e-005,3.46742e-007)
(2.92376e-006,-0.000178189)
(1.12013e-006,0.000121176)
(0.000280379,6.70801e-006)
(2.28843e-005,2.34055e-007)
(1.97899e-006,-0.000178857)
(1.17494e-006,0.000123074)
(0.00028135,6.90651e-006)
(2.33536e-005,1.54078e-007)
(1.33893e-006,-0.000179308)
(1.20141e-006,0.000123968)
(0.000281807,7.00095e-006)
(2.35759e-005,1.15498e-007)
(1.03839e-006,-0.00017952)
(1.24707e-006,0.00012548)
(0.000282578,7.16181e-006)
(2.39531e-005,4.90159e-008)
(5.32173e-007,-0.000179878)
(1.28695e-006,0.00012677)
(0.000283236,7.30031e-006)
(2.42766e-005,-8.98705e-009)
(1.01878e-007,-0.000180181)
(1.33675e-006,0.000128343)
(0.000284037,7.47072e-006)
(2.46729e-005,-8.13087e-008)
(-4.20819e-007,-0.00018055)
(1.3824e-006,0.00012975)
(0.000284753,7.62453e-006)
(2.50291e-005,-1.47475e-007)
(-8.86468e-007,-0.000180878)
(1.43107e-006,0.000131216)
(0.000285498,7.78615e-006)
(2.5402e-005,-2.1789e-007)
(-1.36971e-006,-0.000181219)
(1.47904e-006,0.000132628)
(0.000286214,7.94314e-006)
(2.57628e-005,-2.87143e-007)
(-1.83338e-006,-0.000181546)
(1.53015e-006,0.000134098)
(0.00028696,8.10804e-006)
(2.61404e-005,-3.60782e-007)
(-2.31458e-006,-0.000181885)
(1.58253e-006,0.00013557)
(0.000287706,8.27459e-006)
(2.65203e-005,-4.36076e-007)
(-2.79477e-006,-0.000182224)
(1.63203e-006,0.000136931)
(0.000288395,8.42978e-006)
(2.68732e-005,-5.07051e-007)
(-3.23712e-006,-0.000182536)
(1.68905e-006,0.000138464)
(0.00028917,8.60602e-006)
(2.72725e-005,-5.88597e-007)
(-3.73376e-006,-0.000182886)
(1.80066e-006,0.000141365)
(0.000290635,8.94365e-006)
(2.80336e-005,-7.47558e-007)
(-4.66895e-006,-0.000183545)
(1.91983e-006,0.000144329)
(0.00029213,9.29417e-006)
(2.88188e-005,-9.16315e-007)
(-5.61865e-006,-0.000184215)
(2.03966e-006,0.000147186)
(0.000293568,9.63708e-006)
(2.95824e-005,-1.08498e-006)
(-6.52827e-006,-0.000184856)
(2.16476e-006,0.000150047)
(0.000295007,9.98562e-006)
(3.03544e-005,-1.25997e-006)
(-7.43448e-006,-0.000185496)
(2.29524e-006,0.000152914)
(0.000296445,1.03397e-005)
(3.11347e-005,-1.44132e-006)
(-8.33734e-006,-0.000186133)
(2.43122e-006,0.000155784)
(0.000297884,1.06992e-005)
(3.19231e-005,-1.62906e-006)
(-9.23692e-006,-0.000186768)
(2.5873e-006,0.000158946)
(0.000299467,1.11007e-005)
(3.27997e-005,-1.843e-006)
(-1.02228e-005,-0.000187464)
(2.75033e-006,0.000162112)
(0.00030105,1.15085e-005)
(3.36859e-005,-2.06476e-006)
(-1.12048e-005,-0.000188158)
(2.90469e-006,0.000164992)
(0.000302488,1.18845e-005)
(3.44999e-005,-2.27318e-006)
(-1.20944e-005,-0.000188788)
(3.06504e-006,0.000167875)
(0.000303926,1.22655e-005)
(3.53216e-005,-2.48813e-006)
(-1.2981e-005,-0.000189415)
(3.23148e-006,0.000170759)
(0.000305363,1.26512e-005)
(3.6151e-005,-2.70963e-006)
(-1.38646e-005,-0.000190041)
(3.40413e-006,0.000173644)
(0.000306799,1.30415e-005)
(3.6988e-005,-2.93772e-006)
(-1.47453e-005,-0.000190665)
(3.58308e-006,0.000176531)
(0.000308235,1.34364e-005)
(3.78326e-005,-3.1724e-006)
(-1.56232e-005,-0.000191288)
(3.76845e-006,0.000179417)
(0.000309669,1.38357e-005)
(3.86845e-005,-3.41371e-006)
(-1.64984e-005,-0.000191909)
(3.96034e-006,0.000182304)
(0.000311102,1.42393e-005)
(3.95437e-005,-3.66167e-006)
(-1.73709e-005,-0.000192529)
(4.17907e-006,0.000185478)
(0.000312677,1.4688e-005)
(4.04973e-005,-3.94213e-006)
(-1.83275e-005,-0.00019321)
(4.40594e-006,0.000188652)
(0.00031425,1.51415e-005)
(4.14594e-005,-4.23068e-006)
(-1.9281e-005,-0.000193889)
(4.61935e-006,0.000191536)
(0.000315678,1.55578e-005)
(4.23415e-005,-4.50003e-006)
(-2.01451e-005,-0.000194505)
(4.83971e-006,0.000194419)
(0.000317105,1.59778e-005)
(4.32305e-005,-4.77611e-006)
(-2.10068e-005,-0.00019512)
(5.06708e-006,0.000197299)
(0.00031853,1.64014e-005)
(4.41264e-005,-5.05892e-006)
(-2.1866e-005,-0.000195734)
(5.30158e-006,0.000200177)
(0.000319953,1.68284e-005)
(4.5029e-005,-5.34848e-006)
(-2.27228e-005,-0.000196347)
(5.54327e-006,0.000203053)
(0.000321374,1.72587e-005)
(4.59384e-005,-5.64479e-006)
(-2.35773e-005,-0.000196959)
(5.79227e-006,0.000205925)
(0.000322793,1.76922e-005)
(4.68543e-005,-5.94787e-006)
(-2.44294e-005,-0.000197571)
(6.04863e-006,0.000208795)
(0.00032421,1.81287e-005)
(4.77767e-005,-6.25773e-006)
(-2.52793e-005,-0.000198181)
(6.63902e-006,0.000215094)
(0.000327318,1.9099e-005)
(4.98285e-005,-6.96331e-006)
(-2.71413e-005,-0.000199522)
(7.20777e-006,0.000220804)
(0.000330134,1.9992e-005)
(5.172e-005,-7.6333e-006)
(-2.88251e-005,-0.000200738)
(7.80764e-006,0.000226495)
(0.000332939,2.08944e-005)
(5.36358e-005,-8.33051e-006)
(-3.05007e-005,-0.000201952)
(8.43921e-006,0.000232166)
(0.000335733,2.18049e-005)
(5.55751e-005,-9.05496e-006)
(-3.21684e-005,-0.000203164)
(9.17115e-006,0.000238378)
(0.000338793,2.28148e-005)
(5.77349e-005,-9.88332e-006)
(-3.39941e-005,-0.000204496)
(9.83515e-006,0.000243719)
(0.000341424,2.36929e-005)
(5.96219e-005,-1.06252e-005)
(-3.55636e-005,-0.000205645)
(1.06039e-005,0.000249595)
(0.000344319,2.46688e-005)
(6.17302e-005,-1.14738e-005)
(-3.7291e-005,-0.000206914)
(1.13705e-005,0.000255163)
(0.000347063,2.56024e-005)
(6.37596e-005,-1.23098e-005)
(-3.89291e-005,-0.000208122)
(1.2171e-005,0.000260702)
(0.000349794,2.6539e-005)
(6.58094e-005,-1.31728e-005)
(-4.05606e-005,-0.00020933)
