Sil_r0_2_E -0.15259023 0.00123842
Sil_r0_2_P 255.61909118 23.38634810
Sil_r0_1_E 0.05291759 0.00126738
Sil_r0_1_P 115.60574515 18.43603679
Sil_r0_0_E 0.08862627 0.00120271
Sil_r0_0_P 116.42597164 18.27128093
Sil_r0_5_E 0.00000000 0.00000000
Sil_r0_5_P 134.54573253 17.30151069
Sil_r0_4_E 0.12028562 0.00119477
Sil_r0_4_P 114.89829129 18.78009555
Sil_r0_3_E 0.00000000 0.00000000
Sil_r0_3_P 250.59713135 6.79349175
Sil_r0_8_E -0.18888055 0.00116449
Sil_r0_8_P 268.77202068 17.65007232
Sil_r0_7_E 0.05004394 0.00127100
Sil_r0_7_P 109.24940444 9.32875936
Sil_r0_6_E 0.11488068 0.00121414
Sil_r0_6_P 131.56779714 17.28288042
Sil_r0_11_E -0.15161916 0.00109213
Sil_r0_11_P 267.10953211 21.23441079
Sil_r0_10_E -0.10725832 0.00131900
Sil_r0_10_P 268.62746126 15.41613492
Sil_r0_9_E -0.05794813 0.00135666
Sil_r0_9_P 258.60338954 23.39619206
