7.06	0.01	1.66E-07	2.49E-08
7.06	22.50	3.83E-07	3.06E-08
7.06	45.00	8.07E-07	3.23E-08
7.06	67.50	1.29E-06	3.87E-08
7.06	90.00	1.50E-06	4.50E-08
7.06	112.50	1.29E-06	3.86E-08
7.06	135.00	7.96E-07	3.98E-08
7.42	0.01	5.29E-08	1.85E-08
7.42	22.50	5.97E-08	1.79E-08
7.42	45.00	1.12E-07	2.24E-08
7.42	67.50	1.19E-07	2.38E-08
7.42	90.00	1.59E-07	2.38E-08
7.42	112.50	1.22E-07	1.83E-08
7.42	135.00	9.76E-08	1.95E-08
7.88	0.01	2.74E-07	2.74E-08
7.88	22.50	5.80E-07	2.90E-08
7.88	45.00	1.13E-06	3.39E-08
7.88	67.50	1.37E-06	5.49E-08
7.88	90.00	1.19E-06	4.77E-08
7.88	112.50	8.64E-07	3.46E-08
7.88	135.00	4.83E-07	2.41E-08
8.00	0.01	1.26E-07	1.89E-08
8.00	22.50	2.59E-07	2.59E-08
8.00	45.00	4.26E-07	2.98E-08
8.00	67.50	5.48E-07	2.74E-08
8.00	90.00	4.96E-07	2.98E-08
8.00	112.50	3.75E-07	2.63E-08
8.00	135.00	2.51E-07	3.76E-08
