0.2843	55	3.357E-02	1.679E-03
0.3049	55	7.745E-02	3.872E-03
0.3150	55	1.185E-01	5.926E-03
0.3248	55	1.705E-01	8.523E-03
0.3299	55	2.012E-01	1.006E-02
0.3348	55	2.290E-01	1.145E-02
0.3399	55	2.706E-01	1.353E-02
0.3470	55	3.017E-01	1.508E-02
0.3498	55	3.131E-01	1.565E-02
0.3570	55	3.459E-01	1.730E-02
0.3669	55	3.683E-01	1.842E-02
0.3870	55	4.152E-01	2.076E-02
0.3972	55	4.375E-01	2.187E-02
0.4072	55	4.696E-01	2.348E-02
0.4698	55	6.773E-01	3.386E-02
0.4999	55	7.437E-01	3.719E-02
0.5400	55	9.197E-01	4.599E-02
0.5799	55	1.207E+00	6.037E-02
0.6193	55	1.605E+00	8.026E-02
0.6402	55	1.849E+00	9.244E-02
0.6598	55	2.210E+00	1.105E-01
0.6797	55	2.628E+00	1.314E-01
0.6947	55	3.100E+00	1.550E-01
0.6953	55	3.292E+00	1.646E-01
0.6993	55	3.261E+00	1.630E-01
0.6998	55	3.318E+00	1.659E-01
0.7150	55	4.049E+00	2.025E-01
0.7248	55	3.898E+00	1.949E-01
0.7299	55	4.332E+00	2.166E-01
0.7488	55	4.911E+00	2.455E-01
0.7498	55	4.626E+00	2.313E-01
0.7499	55	4.705E+00	2.352E-01
0.7499	55	4.275E+00	2.138E-01
0.7499	55	4.858E+00	2.429E-01
0.7731	55	6.055E+00	3.028E-01
0.7899	55	7.014E+00	3.507E-01
0.7938	55	7.393E+00	3.697E-01
0.7991	55	7.135E+00	3.567E-01
0.8110	55	8.901E+00	4.451E-01
0.8151	55	9.060E+00	4.530E-01
0.8340	55	1.178E+01	5.888E-01
0.8399	55	1.244E+01	6.220E-01
0.8498	55	1.359E+01	6.796E-01
0.8538	55	1.576E+01	7.878E-01
0.8651	55	1.861E+01	9.305E-01
0.9296	55	3.437E+01	1.719E+00
0.9301	55	3.045E+01	1.522E+00
0.9448	55	3.833E+01	1.916E+00
0.9494	55	4.308E+01	2.154E+00
0.9599	55	4.896E+01	2.448E+00
0.9601	55	4.575E+01	2.288E+00
0.9700	55	5.596E+01	2.798E+00
0.9787	55	6.267E+01	3.134E+00
0.9797	55	5.815E+01	2.907E+00
0.9899	55	7.120E+01	3.560E+00
0.9993	55	7.855E+01	3.928E+00
1.0000	55	7.274E+01	3.637E+00
1.0083	55	8.594E+01	4.297E+00
1.0195	55	9.103E+01	4.552E+00
1.0200	55	9.533E+01	4.767E+00
1.0204	55	1.008E+02	5.041E+00
1.0204	55	7.422E+01	3.711E+00
1.0300	55	1.023E+02	5.113E+00
1.0401	55	1.121E+02	5.605E+00
1.0484	55	1.197E+02	5.987E+00
1.0502	55	1.154E+02	5.772E+00
1.0597	55	1.376E+02	6.880E+00
