1.810	165.00	4.1743E-02	2.4542E-03
1.860	165.00	4.2382E-02	2.4465E-03
2.000	165.00	3.5246E-02	1.7972E-03
2.041	165.00	3.2491E-02	1.9157E-03
2.091	165.00	3.2890E-02	1.9079E-03
2.191	165.00	2.8194E-02	1.6624E-03
2.241	165.00	2.6669E-02	1.5772E-03
2.291	165.00	2.6861E-02	1.5663E-03
2.341	165.00	2.4182E-02	1.4344E-03
2.441	165.00	2.1532E-02	1.2895E-03
2.491	165.00	2.0903E-02	1.2478E-03
2.592	165.00	1.5109E-02	8.6420E-04
2.642	165.00	1.2927E-02	7.6219E-04
2.692	165.00	1.0505E-02	6.5369E-04
2.722	165.00	8.9432E-03	5.8718E-04
2.782	165.00	6.7400E-03	3.8308E-04
2.812	165.00	5.8838E-03	3.4400E-04
2.842	165.00	4.3638E-03	2.7942E-04
2.872	165.00	3.7603E-03	2.5410E-04
2.902	165.00	3.0134E-03	2.2523E-04
2.932	165.00	3.1160E-03	2.2621E-04
2.962	165.00	3.5353E-03	2.3889E-04
2.992	165.00	4.7247E-03	2.8392E-04
3.042	165.00	1.1122E-02	6.3410E-04
3.092	165.00	2.0940E-02	1.2017E-03
3.142	165.00	3.6417E-02	1.9558E-03
3.192	165.00	4.9122E-02	2.6402E-03
3.242	165.00	5.8215E-02	3.1512E-03
3.293	165.00	6.5657E-02	3.5309E-03
3.343	165.00	6.9258E-02	3.7306E-03
3.393	165.00	7.1029E-02	3.8435E-03
3.493	165.00	6.8522E-02	3.6961E-03
3.503	165.00	6.7097E-02	3.6271E-03
3.513	165.00	6.8201E-02	3.6753E-03
3.523	165.00	6.7701E-02	3.6492E-03
3.533	165.00	6.5737E-02	3.5553E-03
3.543	165.00	6.6826E-02	3.6029E-03
3.563	165.00	5.9859E-02	3.2327E-03
3.573	165.00	6.6703E-02	3.5888E-03
3.583	165.00	7.6874E-02	4.1398E-03
3.593	165.00	6.9457E-02	3.7518E-03
3.603	165.00	6.8094E-02	3.6858E-03
3.613	165.00	7.1930E-02	3.8609E-03
3.743	165.00	6.7725E-02	3.6302E-03
3.793	165.00	6.4775E-02	3.4803E-03
3.843	165.00	6.4246E-02	3.4437E-03
3.893	165.00	6.1025E-02	3.2822E-03
3.943	165.00	6.0757E-02	3.2585E-03
3.994	165.00	5.8154E-02	3.1265E-03
4.044	165.00	5.9829E-02	3.2257E-03
4.094	165.00	4.8619E-02	2.6322E-03
4.154	165.00	4.2322E-02	2.2684E-03
4.174	165.00	4.5802E-02	2.6715E-03
4.194	165.00	5.3301E-02	2.8615E-03
4.204	165.00	6.6210E-02	3.5775E-03
4.214	165.00	9.0508E-02	4.7959E-03
4.218	165.00	9.5884E-02	5.0494E-03
4.222	165.00	1.0440E-01	5.7341E-03
4.226	165.00	1.1920E-01	6.4135E-03
4.230	165.00	1.3868E-01	7.6166E-03
4.234	165.00	1.9111E-01	1.0333E-02
4.236	165.00	2.1057E-01	1.1238E-02
4.238	165.00	2.4962E-01	1.3340E-02
4.240	165.00	2.9487E-01	1.6023E-02
4.242	165.00	3.2280E-01	1.7314E-02
4.244	165.00	3.9450E-01	2.1222E-02
4.246	165.00	4.2776E-01	2.3053E-02
4.250	165.00	5.6277E-01	3.0186E-02
4.252	165.00	6.1059E-01	3.2981E-02
4.254	165.00	6.9260E-01	3.7361E-02
4.256	165.00	7.4954E-01	4.0289E-02
4.258	165.00	8.5537E-01	4.5508E-02
4.262	165.00	9.7795E-01	5.4158E-02
4.266	165.00	9.9161E-01	5.4757E-02
4.268	165.00	9.7520E-01	5.4006E-02
4.270	165.00	8.8923E-01	4.7074E-02
4.272	165.00	7.8025E-01	4.1960E-02
4.274	165.00	7.5173E-01	4.0346E-02
4.278	165.00	6.5172E-01	3.5119E-02
4.282	165.00	5.8207E-01	3.1306E-02
4.284	165.00	5.5618E-01	2.9816E-02
4.288	165.00	4.8230E-01	2.6094E-02
4.296	165.00	4.0182E-01	2.1777E-02
4.312	165.00	2.7600E-01	1.4786E-02
4.320	165.00	2.5156E-01	1.3645E-02
4.324	165.00	2.2471E-01	1.2112E-02
4.334	165.00	2.0040E-01	1.0700E-02
4.344	165.00	1.8753E-01	1.0093E-02
4.354	165.00	1.7923E-01	9.7024E-03
4.374	165.00	1.6286E-01	8.6600E-03
4.394	165.00	1.5189E-01	8.1366E-03
